palabra,codigo_pais,pais,bandera,significado,emoji,categoria
concha,SV,El Salvador,🇸🇻,caparazón de mar / pan dulce (MX),🐚🙈,Doble sentido ⚠️
concha,HN,Honduras,🇭🇳,caparazón de mar / pan dulce (MX),🐚🙈,Doble sentido ⚠️
concha,NI,Nicaragua,🇳🇮,caparazón de mar / pan dulce (MX),🐚🙈,Doble sentido ⚠️
concha,CR,Costa Rica,🇨🇷,caparazón de mar / pan dulce (MX),🐚🙈,Doble sentido ⚠️
concha,PA,Panamá,🇵🇦,caparazón de mar / pan dulce (MX),🐚🙈,Doble sentido ⚠️
concha,CU,Cuba,🇨🇺,caparazón de mar / pan dulce (MX),🐚🙈,Doble sentido ⚠️
concha,DO,Rep. Dominicana,🇩🇴,caparazón de mar / pan dulce (MX),🐚🙈,Doble sentido ⚠️
concha,PR,Puerto Rico,🇵🇷,caparazón de mar / pan dulce (MX),🐚🙈,Doble sentido ⚠️
concha,CO,Colombia,🇨🇴,caparazón de mar / pan dulce (MX),🐚🙈,Doble sentido ⚠️
concha,VE,Venezuela,🇻🇪,caparazón de mar / pan dulce (MX),🐚🙈,Doble sentido ⚠️
concha,EC,Ecuador,🇪🇨,caparazón de mar / pan dulce (MX),🐚🙈,Doble sentido ⚠️
concha,PE,Perú,🇵🇪,caparazón de mar / pan dulce (MX),🐚🙈,Doble sentido ⚠️
concha,BO,Bolivia,🇧🇴,genital femenino (vulgar) ⚠️,🐚🙈,Doble sentido ⚠️
concha,PY,Paraguay,🇵🇾,genital femenino (vulgar) ⚠️,🐚🙈,Doble sentido ⚠️
concha,UY,Uruguay,🇺🇾,genital femenino (vulgar) ⚠️,🐚🙈,Doble sentido ⚠️
concha,AR,Argentina,🇦🇷,genital femenino (vulgar) ⚠️,🐚🙈,Doble sentido ⚠️
concha,CL,Chile,🇨🇱,genital femenino (vulgar) ⚠️,🐚🙈,Doble sentido ⚠️
concha,GQ,Guinea Ecuatorial,🇬🇶,caparazón de mar / pan dulce (MX),🐚🙈,Doble sentido ⚠️
verga,ES,España,🇪🇸,genital masculino (vulgar) ⚠️,🍆🔥,Doble sentido ⚠️
verga,MX,México,🇲🇽,genital masculino (vulgar) ⚠️,🍆🔥,Doble sentido ⚠️
verga,GT,Guatemala,🇬🇹,"muletilla / 'a la verga' (sorpresa, enojo)",🍆🔥,Doble sentido ⚠️
verga,SV,El Salvador,🇸🇻,'estar verga' = estar bien/borracho,🍆🔥,Doble sentido ⚠️
verga,HN,Honduras,🇭🇳,'estar verga' = estar bien/borracho,🍆🔥,Doble sentido ⚠️
verga,NI,Nicaragua,🇳🇮,"muletilla / 'a la verga' (sorpresa, enojo)",🍆🔥,Doble sentido ⚠️
verga,CR,Costa Rica,🇨🇷,genital masculino (vulgar) ⚠️,🍆🔥,Doble sentido ⚠️
verga,PA,Panamá,🇵🇦,genital masculino (vulgar) ⚠️,🍆🔥,Doble sentido ⚠️
verga,CU,Cuba,🇨🇺,genital masculino (vulgar) ⚠️,🍆🔥,Doble sentido ⚠️
verga,DO,Rep. Dominicana,🇩🇴,genital masculino (vulgar) ⚠️,🍆🔥,Doble sentido ⚠️
verga,PR,Puerto Rico,🇵🇷,genital masculino (vulgar) ⚠️,🍆🔥,Doble sentido ⚠️
verga,CO,Colombia,🇨🇴,genital masculino (vulgar) ⚠️,🍆🔥,Doble sentido ⚠️
verga,VE,Venezuela,🇻🇪,"muletilla / 'a la verga' (sorpresa, enojo)",🍆🔥,Doble sentido ⚠️
verga,EC,Ecuador,🇪🇨,genital masculino (vulgar) ⚠️,🍆🔥,Doble sentido ⚠️
verga,PE,Perú,🇵🇪,genital masculino (vulgar) ⚠️,🍆🔥,Doble sentido ⚠️
verga,BO,Bolivia,🇧🇴,genital masculino (vulgar) ⚠️,🍆🔥,Doble sentido ⚠️
verga,PY,Paraguay,🇵🇾,genital masculino (vulgar) ⚠️,🍆🔥,Doble sentido ⚠️
verga,UY,Uruguay,🇺🇾,genital masculino (vulgar) ⚠️,🍆🔥,Doble sentido ⚠️
verga,AR,Argentina,🇦🇷,genital masculino (vulgar) ⚠️,🍆🔥,Doble sentido ⚠️
verga,CL,Chile,🇨🇱,genital masculino (vulgar) ⚠️,🍆🔥,Doble sentido ⚠️
verga,GQ,Guinea Ecuatorial,🇬🇶,genital masculino (vulgar) ⚠️,🍆🔥,Doble sentido ⚠️
pija,ES,España,🇪🇸,persona fresa / snob,💅😏,Doble sentido ⚠️
pija,MX,México,🇲🇽,persona fresa / snob,💅😏,Doble sentido ⚠️
pija,GT,Guatemala,🇬🇹,persona fresa / snob,💅😏,Doble sentido ⚠️
pija,SV,El Salvador,🇸🇻,persona fresa / snob,💅😏,Doble sentido ⚠️
pija,HN,Honduras,🇭🇳,persona fresa / snob,💅😏,Doble sentido ⚠️
pija,NI,Nicaragua,🇳🇮,persona fresa / snob,💅😏,Doble sentido ⚠️
pija,CR,Costa Rica,🇨🇷,persona fresa / snob,💅😏,Doble sentido ⚠️
pija,PA,Panamá,🇵🇦,persona fresa / snob,💅😏,Doble sentido ⚠️
pija,CU,Cuba,🇨🇺,persona fresa / snob,💅😏,Doble sentido ⚠️
pija,DO,Rep. Dominicana,🇩🇴,persona fresa / snob,💅😏,Doble sentido ⚠️
pija,PR,Puerto Rico,🇵🇷,persona fresa / snob,💅😏,Doble sentido ⚠️
pija,CO,Colombia,🇨🇴,persona fresa / snob,💅😏,Doble sentido ⚠️
pija,VE,Venezuela,🇻🇪,persona fresa / snob,💅😏,Doble sentido ⚠️
pija,EC,Ecuador,🇪🇨,persona fresa / snob,💅😏,Doble sentido ⚠️
pija,PE,Perú,🇵🇪,persona fresa / snob,💅😏,Doble sentido ⚠️
pija,BO,Bolivia,🇧🇴,genital masculino (vulgar) ⚠️,💅😏,Doble sentido ⚠️
pija,PY,Paraguay,🇵🇾,genital masculino (vulgar) ⚠️,💅😏,Doble sentido ⚠️
pija,UY,Uruguay,🇺🇾,genital masculino (vulgar) ⚠️,💅😏,Doble sentido ⚠️
pija,AR,Argentina,🇦🇷,genital masculino (vulgar) ⚠️,💅😏,Doble sentido ⚠️
pija,CL,Chile,🇨🇱,persona fresa / snob,💅😏,Doble sentido ⚠️
pija,GQ,Guinea Ecuatorial,🇬🇶,persona fresa / snob,💅😏,Doble sentido ⚠️
bicho,ES,España,🇪🇸,persona astuta/mala,🐛😏,Doble sentido ⚠️
bicho,MX,México,🇲🇽,insecto / animalito,🐛😏,Doble sentido ⚠️
bicho,GT,Guatemala,🇬🇹,insecto / animalito,🐛😏,Doble sentido ⚠️
bicho,SV,El Salvador,🇸🇻,niño/chico,🐛😏,Doble sentido ⚠️
bicho,HN,Honduras,🇭🇳,niño/chico,🐛😏,Doble sentido ⚠️
bicho,NI,Nicaragua,🇳🇮,insecto / animalito,🐛😏,Doble sentido ⚠️
bicho,CR,Costa Rica,🇨🇷,insecto / animalito,🐛😏,Doble sentido ⚠️
bicho,PA,Panamá,🇵🇦,insecto / animalito,🐛😏,Doble sentido ⚠️
bicho,CU,Cuba,🇨🇺,insecto / animalito,🐛😏,Doble sentido ⚠️
bicho,DO,Rep. Dominicana,🇩🇴,insecto / animalito,🐛😏,Doble sentido ⚠️
bicho,PR,Puerto Rico,🇵🇷,genital masculino (vulgar) ⚠️,🐛😏,Doble sentido ⚠️
bicho,CO,Colombia,🇨🇴,insecto / animalito,🐛😏,Doble sentido ⚠️
bicho,VE,Venezuela,🇻🇪,insecto / animalito,🐛😏,Doble sentido ⚠️
bicho,EC,Ecuador,🇪🇨,insecto / animalito,🐛😏,Doble sentido ⚠️
bicho,PE,Perú,🇵🇪,insecto / animalito,🐛😏,Doble sentido ⚠️
bicho,BO,Bolivia,🇧🇴,insecto / animalito,🐛😏,Doble sentido ⚠️
bicho,PY,Paraguay,🇵🇾,insecto / animalito,🐛😏,Doble sentido ⚠️
bicho,UY,Uruguay,🇺🇾,insecto / animalito,🐛😏,Doble sentido ⚠️
bicho,AR,Argentina,🇦🇷,insecto / animalito,🐛😏,Doble sentido ⚠️
bicho,CL,Chile,🇨🇱,insecto / animalito,🐛😏,Doble sentido ⚠️
bicho,GQ,Guinea Ecuatorial,🇬🇶,insecto / animalito,🐛😏,Doble sentido ⚠️
papaya,ES,España,🇪🇸,fruta,🟠🙊,Doble sentido ⚠️
papaya,MX,México,🇲🇽,fruta,🟠🙊,Doble sentido ⚠️
papaya,GT,Guatemala,🇬🇹,fruta,🟠🙊,Doble sentido ⚠️
papaya,SV,El Salvador,🇸🇻,fruta,🟠🙊,Doble sentido ⚠️
papaya,HN,Honduras,🇭🇳,fruta,🟠🙊,Doble sentido ⚠️
papaya,NI,Nicaragua,🇳🇮,fruta,🟠🙊,Doble sentido ⚠️
papaya,CR,Costa Rica,🇨🇷,fruta,🟠🙊,Doble sentido ⚠️
papaya,PA,Panamá,🇵🇦,fruta,🟠🙊,Doble sentido ⚠️
papaya,CU,Cuba,🇨🇺,genital femenino (vulgar) ⚠️,🟠🙊,Doble sentido ⚠️
papaya,DO,Rep. Dominicana,🇩🇴,fruta,🟠🙊,Doble sentido ⚠️
papaya,PR,Puerto Rico,🇵🇷,fruta,🟠🙊,Doble sentido ⚠️
papaya,CO,Colombia,🇨🇴,algo fácil,🟠🙊,Doble sentido ⚠️
papaya,VE,Venezuela,🇻🇪,'dar papaya' = exponerse al peligro,🟠🙊,Doble sentido ⚠️
papaya,EC,Ecuador,🇪🇨,fruta,🟠🙊,Doble sentido ⚠️
papaya,PE,Perú,🇵🇪,fruta,🟠🙊,Doble sentido ⚠️
papaya,BO,Bolivia,🇧🇴,fruta,🟠🙊,Doble sentido ⚠️
papaya,PY,Paraguay,🇵🇾,fruta,🟠🙊,Doble sentido ⚠️
papaya,UY,Uruguay,🇺🇾,fruta,🟠🙊,Doble sentido ⚠️
papaya,AR,Argentina,🇦🇷,fruta,🟠🙊,Doble sentido ⚠️
papaya,CL,Chile,🇨🇱,fruta,🟠🙊,Doble sentido ⚠️
papaya,GQ,Guinea Ecuatorial,🇬🇶,fruta,🟠🙊,Doble sentido ⚠️
chucha,ES,España,🇪🇸,interjección de fastidio/frío,😬🙊,Doble sentido ⚠️
chucha,MX,México,🇲🇽,interjección de fastidio/frío,😬🙊,Doble sentido ⚠️
chucha,GT,Guatemala,🇬🇹,interjección de fastidio/frío,😬🙊,Doble sentido ⚠️
chucha,SV,El Salvador,🇸🇻,interjección de fastidio/frío,😬🙊,Doble sentido ⚠️
chucha,HN,Honduras,🇭🇳,interjección de fastidio/frío,😬🙊,Doble sentido ⚠️
chucha,NI,Nicaragua,🇳🇮,interjección de fastidio/frío,😬🙊,Doble sentido ⚠️
chucha,CR,Costa Rica,🇨🇷,interjección de fastidio/frío,😬🙊,Doble sentido ⚠️
chucha,PA,Panamá,🇵🇦,interjección de fastidio/frío,😬🙊,Doble sentido ⚠️
chucha,CU,Cuba,🇨🇺,interjección de fastidio/frío,😬🙊,Doble sentido ⚠️
chucha,DO,Rep. Dominicana,🇩🇴,interjección de fastidio/frío,😬🙊,Doble sentido ⚠️
chucha,PR,Puerto Rico,🇵🇷,interjección de fastidio/frío,😬🙊,Doble sentido ⚠️
chucha,CO,Colombia,🇨🇴,mal olor / axila,😬🙊,Doble sentido ⚠️
chucha,VE,Venezuela,🇻🇪,interjección de fastidio/frío,😬🙊,Doble sentido ⚠️
chucha,EC,Ecuador,🇪🇨,genital femenino (vulgar) ⚠️,😬🙊,Doble sentido ⚠️
chucha,PE,Perú,🇵🇪,genital femenino (vulgar) ⚠️,😬🙊,Doble sentido ⚠️
chucha,BO,Bolivia,🇧🇴,interjección de fastidio/frío,😬🙊,Doble sentido ⚠️
chucha,PY,Paraguay,🇵🇾,interjección de fastidio/frío,😬🙊,Doble sentido ⚠️
chucha,UY,Uruguay,🇺🇾,interjección de fastidio/frío,😬🙊,Doble sentido ⚠️
chucha,AR,Argentina,🇦🇷,perro,😬🙊,Doble sentido ⚠️
chucha,CL,Chile,🇨🇱,genital femenino (vulgar) ⚠️,😬🙊,Doble sentido ⚠️
chucha,GQ,Guinea Ecuatorial,🇬🇶,interjección de fastidio/frío,😬🙊,Doble sentido ⚠️
cuca,ES,España,🇪🇸,galleta / dulce,🍪😶,Doble sentido ⚠️
cuca,MX,México,🇲🇽,galleta / dulce,🍪😶,Doble sentido ⚠️
cuca,GT,Guatemala,🇬🇹,galleta / dulce,🍪😶,Doble sentido ⚠️
cuca,SV,El Salvador,🇸🇻,galleta / dulce,🍪😶,Doble sentido ⚠️
cuca,HN,Honduras,🇭🇳,galleta / dulce,🍪😶,Doble sentido ⚠️
cuca,NI,Nicaragua,🇳🇮,galleta / dulce,🍪😶,Doble sentido ⚠️
cuca,CR,Costa Rica,🇨🇷,galleta / dulce,🍪😶,Doble sentido ⚠️
cuca,PA,Panamá,🇵🇦,galleta / dulce,🍪😶,Doble sentido ⚠️
cuca,CU,Cuba,🇨🇺,genital femenino (vulgar) ⚠️,🍪😶,Doble sentido ⚠️
cuca,DO,Rep. Dominicana,🇩🇴,galleta / dulce,🍪😶,Doble sentido ⚠️
cuca,PR,Puerto Rico,🇵🇷,galleta / dulce,🍪😶,Doble sentido ⚠️
cuca,CO,Colombia,🇨🇴,genital femenino (vulgar) ⚠️,🍪😶,Doble sentido ⚠️
cuca,VE,Venezuela,🇻🇪,genital femenino (vulgar) ⚠️,🍪😶,Doble sentido ⚠️
cuca,EC,Ecuador,🇪🇨,galleta / dulce,🍪😶,Doble sentido ⚠️
cuca,PE,Perú,🇵🇪,galleta / dulce,🍪😶,Doble sentido ⚠️
cuca,BO,Bolivia,🇧🇴,galleta / dulce,🍪😶,Doble sentido ⚠️
cuca,PY,Paraguay,🇵🇾,galleta / dulce,🍪😶,Doble sentido ⚠️
cuca,UY,Uruguay,🇺🇾,galleta / dulce,🍪😶,Doble sentido ⚠️
cuca,AR,Argentina,🇦🇷,bicicleta / energía,🍪😶,Doble sentido ⚠️
cuca,CL,Chile,🇨🇱,galleta / dulce,🍪😶,Doble sentido ⚠️
cuca,GQ,Guinea Ecuatorial,🇬🇶,galleta / dulce,🍪😶,Doble sentido ⚠️
pendejo,ES,España,🇪🇸,vello púbico (literal) ⚠️,🤦,Insulto / persona
pendejo,MX,México,🇲🇽,vello púbico (literal) ⚠️,🤦,Insulto / persona
pendejo,GT,Guatemala,🇬🇹,tonto / idiota,🤦,Insulto / persona
pendejo,SV,El Salvador,🇸🇻,tonto / idiota,🤦,Insulto / persona
pendejo,HN,Honduras,🇭🇳,tonto / idiota,🤦,Insulto / persona
pendejo,NI,Nicaragua,🇳🇮,tonto / idiota,🤦,Insulto / persona
pendejo,CR,Costa Rica,🇨🇷,tonto / idiota,🤦,Insulto / persona
pendejo,PA,Panamá,🇵🇦,tonto / idiota,🤦,Insulto / persona
pendejo,CU,Cuba,🇨🇺,tonto / idiota,🤦,Insulto / persona
pendejo,DO,Rep. Dominicana,🇩🇴,tonto / idiota,🤦,Insulto / persona
pendejo,PR,Puerto Rico,🇵🇷,tonto / idiota,🤦,Insulto / persona
pendejo,CO,Colombia,🇨🇴,cobarde,🤦,Insulto / persona
pendejo,VE,Venezuela,🇻🇪,cobarde,🤦,Insulto / persona
pendejo,EC,Ecuador,🇪🇨,tonto / idiota,🤦,Insulto / persona
pendejo,PE,Perú,🇵🇪,persona astuta/vivo,🤦,Insulto / persona
pendejo,BO,Bolivia,🇧🇴,tonto / idiota,🤦,Insulto / persona
pendejo,PY,Paraguay,🇵🇾,tonto / idiota,🤦,Insulto / persona
pendejo,UY,Uruguay,🇺🇾,niño / joven,🤦,Insulto / persona
pendejo,AR,Argentina,🇦🇷,niño / joven,🤦,Insulto / persona
pendejo,CL,Chile,🇨🇱,tonto / idiota,🤦,Insulto / persona
pendejo,GQ,Guinea Ecuatorial,🇬🇶,tonto / idiota,🤦,Insulto / persona
huevón,ES,España,🇪🇸,flojo / perezoso,🥚😴,Insulto / persona
huevón,MX,México,🇲🇽,flojo / perezoso,🥚😴,Insulto / persona
huevón,GT,Guatemala,🇬🇹,flojo / perezoso,🥚😴,Insulto / persona
huevón,SV,El Salvador,🇸🇻,flojo / perezoso,🥚😴,Insulto / persona
huevón,HN,Honduras,🇭🇳,flojo / perezoso,🥚😴,Insulto / persona
huevón,NI,Nicaragua,🇳🇮,flojo / perezoso,🥚😴,Insulto / persona
huevón,CR,Costa Rica,🇨🇷,flojo / perezoso,🥚😴,Insulto / persona
huevón,PA,Panamá,🇵🇦,flojo / perezoso,🥚😴,Insulto / persona
huevón,CU,Cuba,🇨🇺,flojo / perezoso,🥚😴,Insulto / persona
huevón,DO,Rep. Dominicana,🇩🇴,flojo / perezoso,🥚😴,Insulto / persona
huevón,PR,Puerto Rico,🇵🇷,flojo / perezoso,🥚😴,Insulto / persona
huevón,CO,Colombia,🇨🇴,'güevón' = tonto cariñoso,🥚😴,Insulto / persona
huevón,VE,Venezuela,🇻🇪,tonto,🥚😴,Insulto / persona
huevón,EC,Ecuador,🇪🇨,tonto,🥚😴,Insulto / persona
huevón,PE,Perú,🇵🇪,tonto,🥚😴,Insulto / persona
huevón,BO,Bolivia,🇧🇴,flojo / perezoso,🥚😴,Insulto / persona
huevón,PY,Paraguay,🇵🇾,flojo / perezoso,🥚😴,Insulto / persona
huevón,UY,Uruguay,🇺🇾,flojo / perezoso,🥚😴,Insulto / persona
huevón,AR,Argentina,🇦🇷,flojo / perezoso,🥚😴,Insulto / persona
huevón,CL,Chile,🇨🇱,amigo / 'weón' (muletilla),🥚😴,Insulto / persona
huevón,GQ,Guinea Ecuatorial,🇬🇶,flojo / perezoso,🥚😴,Insulto / persona
boludo,ES,España,🇪🇸,tonto,🤙😜,Amigo / persona
boludo,MX,México,🇲🇽,tonto,🤙😜,Amigo / persona
boludo,GT,Guatemala,🇬🇹,tonto,🤙😜,Amigo / persona
boludo,SV,El Salvador,🇸🇻,tonto,🤙😜,Amigo / persona
boludo,HN,Honduras,🇭🇳,tonto,🤙😜,Amigo / persona
boludo,NI,Nicaragua,🇳🇮,tonto,🤙😜,Amigo / persona
boludo,CR,Costa Rica,🇨🇷,tonto,🤙😜,Amigo / persona
boludo,PA,Panamá,🇵🇦,tonto,🤙😜,Amigo / persona
boludo,CU,Cuba,🇨🇺,tonto,🤙😜,Amigo / persona
boludo,DO,Rep. Dominicana,🇩🇴,tonto,🤙😜,Amigo / persona
boludo,PR,Puerto Rico,🇵🇷,tonto,🤙😜,Amigo / persona
boludo,CO,Colombia,🇨🇴,tonto,🤙😜,Amigo / persona
boludo,VE,Venezuela,🇻🇪,tonto,🤙😜,Amigo / persona
boludo,EC,Ecuador,🇪🇨,tonto,🤙😜,Amigo / persona
boludo,PE,Perú,🇵🇪,tonto,🤙😜,Amigo / persona
boludo,BO,Bolivia,🇧🇴,tonto,🤙😜,Amigo / persona
boludo,PY,Paraguay,🇵🇾,tonto,🤙😜,Amigo / persona
boludo,UY,Uruguay,🇺🇾,'che boludo' = amigo (muletilla),🤙😜,Amigo / persona
boludo,AR,Argentina,🇦🇷,'che boludo' = amigo (muletilla),🤙😜,Amigo / persona
boludo,CL,Chile,🇨🇱,tonto,🤙😜,Amigo / persona
boludo,GQ,Guinea Ecuatorial,🇬🇶,tonto,🤙😜,Amigo / persona
pana,ES,España,🇪🇸,tela de pana (textil),🤝,Amigo / persona
pana,MX,México,🇲🇽,tela de pana (textil),🤝,Amigo / persona
pana,GT,Guatemala,🇬🇹,tela de pana (textil),🤝,Amigo / persona
pana,SV,El Salvador,🇸🇻,tela de pana (textil),🤝,Amigo / persona
pana,HN,Honduras,🇭🇳,tela de pana (textil),🤝,Amigo / persona
pana,NI,Nicaragua,🇳🇮,tela de pana (textil),🤝,Amigo / persona
pana,CR,Costa Rica,🇨🇷,tela de pana (textil),🤝,Amigo / persona
pana,PA,Panamá,🇵🇦,amigo / compa,🤝,Amigo / persona
pana,CU,Cuba,🇨🇺,amigo / compa,🤝,Amigo / persona
pana,DO,Rep. Dominicana,🇩🇴,amigo / compa,🤝,Amigo / persona
pana,PR,Puerto Rico,🇵🇷,amigo / compa,🤝,Amigo / persona
pana,CO,Colombia,🇨🇴,tela de pana (textil),🤝,Amigo / persona
pana,VE,Venezuela,🇻🇪,amigo / compa,🤝,Amigo / persona
pana,EC,Ecuador,🇪🇨,amigo / compa,🤝,Amigo / persona
pana,PE,Perú,🇵🇪,tela de pana (textil),🤝,Amigo / persona
pana,BO,Bolivia,🇧🇴,tela de pana (textil),🤝,Amigo / persona
pana,PY,Paraguay,🇵🇾,tela de pana (textil),🤝,Amigo / persona
pana,UY,Uruguay,🇺🇾,tela de pana (textil),🤝,Amigo / persona
pana,AR,Argentina,🇦🇷,tela de pana (textil),🤝,Amigo / persona
pana,CL,Chile,🇨🇱,tela de pana (textil),🤝,Amigo / persona
pana,GQ,Guinea Ecuatorial,🇬🇶,tela de pana (textil),🤝,Amigo / persona
parce,ES,España,🇪🇸,amigo (de 'parcero'),🤝,Amigo / persona
parce,MX,México,🇲🇽,amigo (de 'parcero'),🤝,Amigo / persona
parce,GT,Guatemala,🇬🇹,amigo (de 'parcero'),🤝,Amigo / persona
parce,SV,El Salvador,🇸🇻,amigo (de 'parcero'),🤝,Amigo / persona
parce,HN,Honduras,🇭🇳,amigo (de 'parcero'),🤝,Amigo / persona
parce,NI,Nicaragua,🇳🇮,amigo (de 'parcero'),🤝,Amigo / persona
parce,CR,Costa Rica,🇨🇷,amigo (de 'parcero'),🤝,Amigo / persona
parce,PA,Panamá,🇵🇦,amigo (de 'parcero'),🤝,Amigo / persona
parce,CU,Cuba,🇨🇺,amigo (de 'parcero'),🤝,Amigo / persona
parce,DO,Rep. Dominicana,🇩🇴,amigo (de 'parcero'),🤝,Amigo / persona
parce,PR,Puerto Rico,🇵🇷,amigo (de 'parcero'),🤝,Amigo / persona
parce,CO,Colombia,🇨🇴,amigo / parcero,🤝,Amigo / persona
parce,VE,Venezuela,🇻🇪,amigo (de 'parcero'),🤝,Amigo / persona
parce,EC,Ecuador,🇪🇨,amigo (de 'parcero'),🤝,Amigo / persona
parce,PE,Perú,🇵🇪,amigo (de 'parcero'),🤝,Amigo / persona
parce,BO,Bolivia,🇧🇴,amigo (de 'parcero'),🤝,Amigo / persona
parce,PY,Paraguay,🇵🇾,amigo (de 'parcero'),🤝,Amigo / persona
parce,UY,Uruguay,🇺🇾,amigo (de 'parcero'),🤝,Amigo / persona
parce,AR,Argentina,🇦🇷,amigo (de 'parcero'),🤝,Amigo / persona
parce,CL,Chile,🇨🇱,amigo (de 'parcero'),🤝,Amigo / persona
parce,GQ,Guinea Ecuatorial,🇬🇶,amigo (de 'parcero'),🤝,Amigo / persona
causa,ES,España,🇪🇸,plato de papa (gastronomía),🤝🥔,Amigo / persona
causa,MX,México,🇲🇽,plato de papa (gastronomía),🤝🥔,Amigo / persona
causa,GT,Guatemala,🇬🇹,plato de papa (gastronomía),🤝🥔,Amigo / persona
causa,SV,El Salvador,🇸🇻,plato de papa (gastronomía),🤝🥔,Amigo / persona
causa,HN,Honduras,🇭🇳,plato de papa (gastronomía),🤝🥔,Amigo / persona
causa,NI,Nicaragua,🇳🇮,plato de papa (gastronomía),🤝🥔,Amigo / persona
causa,CR,Costa Rica,🇨🇷,plato de papa (gastronomía),🤝🥔,Amigo / persona
causa,PA,Panamá,🇵🇦,plato de papa (gastronomía),🤝🥔,Amigo / persona
causa,CU,Cuba,🇨🇺,plato de papa (gastronomía),🤝🥔,Amigo / persona
causa,DO,Rep. Dominicana,🇩🇴,plato de papa (gastronomía),🤝🥔,Amigo / persona
causa,PR,Puerto Rico,🇵🇷,plato de papa (gastronomía),🤝🥔,Amigo / persona
causa,CO,Colombia,🇨🇴,plato de papa (gastronomía),🤝🥔,Amigo / persona
causa,VE,Venezuela,🇻🇪,plato de papa (gastronomía),🤝🥔,Amigo / persona
causa,EC,Ecuador,🇪🇨,plato de papa (gastronomía),🤝🥔,Amigo / persona
causa,PE,Perú,🇵🇪,amigo / pata,🤝🥔,Amigo / persona
causa,BO,Bolivia,🇧🇴,plato de papa (gastronomía),🤝🥔,Amigo / persona
causa,PY,Paraguay,🇵🇾,plato de papa (gastronomía),🤝🥔,Amigo / persona
causa,UY,Uruguay,🇺🇾,plato de papa (gastronomía),🤝🥔,Amigo / persona
causa,AR,Argentina,🇦🇷,plato de papa (gastronomía),🤝🥔,Amigo / persona
causa,CL,Chile,🇨🇱,plato de papa (gastronomía),🤝🥔,Amigo / persona
causa,GQ,Guinea Ecuatorial,🇬🇶,plato de papa (gastronomía),🤝🥔,Amigo / persona
pata,ES,España,🇪🇸,'buena/mala pata' = suerte,🦵🤝,Amigo / persona
pata,MX,México,🇲🇽,pata / pierna de animal,🦵🤝,Amigo / persona
pata,GT,Guatemala,🇬🇹,pata / pierna de animal,🦵🤝,Amigo / persona
pata,SV,El Salvador,🇸🇻,pata / pierna de animal,🦵🤝,Amigo / persona
pata,HN,Honduras,🇭🇳,pata / pierna de animal,🦵🤝,Amigo / persona
pata,NI,Nicaragua,🇳🇮,pata / pierna de animal,🦵🤝,Amigo / persona
pata,CR,Costa Rica,🇨🇷,pata / pierna de animal,🦵🤝,Amigo / persona
pata,PA,Panamá,🇵🇦,pata / pierna de animal,🦵🤝,Amigo / persona
